_ga;GA1.2.141956230.1549968343;.guru99.com;/;Thu Feb 11 16:15:48 IST 2021;false
_gat_gtag_UA_1248015_24;1;.guru99.com;/;Tue Feb 12 16:16:43 IST 2019;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
_gid;GA1.2.1602497248.1549968343;.guru99.com;/;Wed Feb 13 16:15:48 IST 2019;false
